model_name,model_family,modality,body_region,patient_population,age_groups,clinical_problem,task,model_description,release_status,release_evidence,code_url,journal,year,citations,citations_per_year,rcr,fwci,nih_percentile,doi,url,title,first_author,study_design,dataset_size,data_source,validation,headline_result,pmid,record_id,source,is_preprint,confidence,overridden_fields,extractor_model,prompt_version,extracted_on
,support vector machine on automated MRI-derived tissue/morphology descriptors,MRI,brain (neonatal),173 preterm infants imaged at 30 and/or 40 weeks postmenstrual age,neonate; infant,predicting cognitive and motor developmental outcome at 2-3 years in preterm infants from neonatal brain MRI,outcome prediction,"Input is automatically computed brain MRI descriptors (tissue volumes and cortical morphology measures); output is an SVM classification of infants likely to have low cognitive or motor outcome at 2-3 years, assessed at 30 and 40 weeks postmenstrual age.",unclear,,,Scientific reports,2017,28,3.11,1.49,,64.1,10.1038/s41598-017-02307-w,https://doi.org/10.1038/s41598-017-02307-w,Prediction of cognitive and motor outcome of preterm infants based on automatic quantitative descriptors from neonatal MR brain images.,Moeskops P,prospective cohort study with automated MRI-based outcome prediction,"173 patients (86 imaged at 30 weeks PMA, 153 at 40 weeks PMA)",not stated,internal only,"AUC 0.78-0.85 for identifying infants with low cognitive/motor outcome, depending on imaging timepoint",28526882,28526882,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
ARIANNA,,MRI,brain,"individuals with autism spectrum disorder, multi-site neuroimaging data (age not stated)",,"identifying structural and functional brain characteristics that distinguish individuals with autism spectrum disorder from controls, to support diagnosis and treatment stratification",detection / diagnosis,A web-based collaborative research platform applying multivariate machine-learning approaches to multi-site structural and functional MRI data to distinguish autism spectrum disorder from controls and identify subgroups for treatment stratification.,unclear,platform accessible to the community of researchers working on ASD (https://arianna.pi.infn.it),https://arianna.pi.infn.it,Computers in biology and medicine,2017,6,0.67,0.3,,18.3,10.1016/j.compbiomed.2017.05.017,https://doi.org/10.1016/j.compbiomed.2017.05.017,ARIANNA: A research environment for neuroimaging studies in autism spectrum disorders.,Retico A,description of a multi-site machine-learning-based neuroimaging research platform for autism spectrum disorder,,multi center,internal only,,28544911,28544911,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
,cross-validated machine-learning classifier on functional connectivity features,MRI,brain,59 six-month-old infants at high familial risk for autism,infant,prediction of an autism spectrum disorder diagnosis at 24 months from imaging at 6 months,outcome prediction,"Takes resting-state functional connectivity MRI acquired at 6 months of age and returns a prediction of whether that child will receive an autism diagnosis at 24 months. Functional connections were first related to 24-month social, language, motor and repetitive-behavior scores, then used as features in a fully cross-validated classifier.",unclear,,,Science translational medicine,2017,252,28.0,11.61,,98.0,10.1126/scitranslmed.aag2882,https://doi.org/10.1126/scitranslmed.aag2882,Functional neuroimaging of high-risk 6-month-old infants predicts a diagnosis of autism at 24 months of age.,Emerson RW,prospective longitudinal neuroimaging cohort,59 high-risk infants,not stated,prospective,"positive predictive value 100% (95% CI 62.9-100), sensitivity 81.8%, specificity 100%",28592562,28592562,pubmed,False,high,,"claude-code (opus-5, manual)",1,2026-09-08
MaShDL,deep learning shape model (statistical shape model + deep classifiers),x-ray / radiography,lung / chest,314 normal and abnormal pediatric chest radiographs,pediatric (unspecified),automated segmentation of the lung fields on pediatric chest radiographs,segmentation,"Input: pediatric chest radiographs; output: lung field segmentation contours, estimated by deep classifiers predicting statistical shape model parameters in marginal eigenspaces (MaShDL).",unclear,,,Proceedings of SPIE--the International Society for Optical Engineering,2017,8,0.89,0.46,,26.8,10.1117/12.2254412,https://doi.org/10.1117/12.2254412,Marginal Shape Deep Learning: Applications to Pediatric Lung Field Segmentation.,Mansoor A,retrospective algorithm development and internal evaluation,314 pediatric chest radiographs,not stated,internal only,"mean Dice similarity coefficient 0.927 (vs 0.888 for classical ASM, p=0.01)",28592911,28592911,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
Auto-Net,auto-context CNN (voxelwise multi-plane and U-net variants),MRI,brain,public adult benchmark datasets plus reconstructed fetal brain MRI,fetal,"extracting the brain from surrounding tissue on MRI, including fetal brains in arbitrary orientations",segmentation,"Separates brain from non-brain on MRI without registering to an atlas and without assuming anything about image geometry, which is what makes it work on a fetal brain lying in an arbitrary orientation inside the uterus. It feeds its own probability maps back in as context, iteratively, so the network learns the shape and connectedness of the brain rather than only local intensity.",unclear,,,IEEE transactions on medical imaging,2017,90,10.0,4.82,,91.8,10.1109/TMI.2017.2721362,https://doi.org/10.1109/TMI.2017.2721362,Auto-Context Convolutional Neural Network (Auto-Net) for Brain Extraction in Magnetic Resonance Imaging.,Mohseni Salehi SS,technical development,"two public benchmarks (LPBA40, OASIS) plus a fetal brain MRI set",public dataset,external / multi-center,"Dice 97.73% and 97.62% on the public adult benchmarks and 95.97% on arbitrarily oriented fetal brains, where competing methods performed poorly",28678704,28678704,pubmed,False,high,,"claude-code (opus-5, manual)",1,2026-09-08
,machine learning (classifier on cortical thickness features),MRI,brain (cortical thickness),"115 youth from the LAMS study plus 31 healthy comparison youth, mean age ~13 years",child; adolescent,Distinguishing youth with higher versus lower trajectories of manic-like mood/energy dysregulation using cortical thickness patterns from structural MRI,outcome prediction,"A machine learning classifier trained on cortical thickness measures (68 anatomical regions) extracted via surface reconstruction from structural MRI, used to distinguish youth with higher versus lower longitudinal trajectories of manic-like mood and energy dysregulation.",unclear,,,PloS one,2017,1,0.11,0.05,,4.5,10.1371/journal.pone.0180221,https://doi.org/10.1371/journal.pone.0180221,Using machine learning and surface reconstruction to accurately differentiate different trajectories of mood and energy dysregulation in youth.,Versace A,Retrospective longitudinal cohort study with machine-learning classification,"115 LAMS youth (18 higher trajectory, 34 lower trajectory) plus 31 healthy comparisons",not stated,internal only,"AUC 0.89, p=0.03 for distinguishing higher vs lower mania trajectory groups",28683115,28683115,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
SonoNet,real-time CNN with weakly supervised localization,ultrasound,fetus,fetuses undergoing routine mid-pregnancy anomaly screening ultrasound,fetal,finding and labelling the standard views required by the mid-pregnancy anomaly scan,detection / diagnosis,"Watches freehand 2D ultrasound as it is acquired and, in real time, names which of 13 standard fetal views is on screen and draws a box around the relevant anatomy. The localization is learned from image-level labels alone, with no manual boxes. Intended to help less experienced operators acquire and recognize the required views, and to pull the right frames out of stored video afterwards.",unclear,,,IEEE transactions on medical imaging,2017,193,21.44,10.91,,97.8,10.1109/TMI.2017.2712367,https://doi.org/10.1109/TMI.2017.2712367,SonoNet: Real-Time Detection and Localisation of Fetal Standard Scan Planes in Freehand Ultrasound.,Baumgartner CF,technical development on clinical screening data,images and video from a large set of full clinical anomaly screenings; size not stated,not stated,internal only,"F1 0.798 for real-time detection, 90.1% accuracy for retrospective frame retrieval, 77.8% for localization",28708546,28708546,pubmed,False,high,,"claude-code (opus-5, manual)",1,2026-09-08
Reveal NLP,natural language processing engine with an inference rules engine,ultrasound,deep veins (venous system),"pediatric hospital encounters with ultrasound studies performed between July 2015 and March 2016, 3371 hospital encounters",pediatric (unspecified),detection of deep venous thrombosis from radiology reports,detection / diagnosis; workflow / non-interpretive,"Reveal NLP, a commercial natural language processing tool paired with an inference rules engine, scans radiologists' free-text ultrasound reports to flag studies as positive or negative for deep venous thrombosis. It was first validated on a curated set of reports, then configured to scan all available radiology reports daily as an automated, prospective safety-net screen for hospital-acquired VTE, rather than interpreting the images itself.",commercial,"validated an NLP tool, Reveal NLP (Health Fidelity Inc, San Mateo, CA)",,Journal of thrombosis and thrombolysis,2017,22,2.44,1.03,,51.3,10.1007/s11239-017-1532-y,https://doi.org/10.1007/s11239-017-1532-y,The use of natural language processing on pediatric diagnostic radiology reports in the electronic health record to identify deep venous thrombosis in children.,Gálvez JA,prospective single-center diagnostic accuracy / workflow validation,validation set of 144 DVT-positive and 106 negative reports; prospective run on 6373 radiology reports from 3371 hospital encounters,single center,prospective,"Validation set sensitivity 97.2% (95% CI 93-99.2%), specificity 92.5% (95% CI 85.7-96.7%); prospective run sensitivity 82.9% (95% CI 74.8-89.2%), specificity 97.5% (95% CI 96.9-98%)",28815363,28815363,pubmed,False,high,,claude-sonnet-5 (claude code),1,2026-09-10
,random forest / manifold learning,MRI,brain (neonatal),"neonates in three groups: term controls, intrauterine growth restriction, and mild isolated ventriculomegaly",neonate,classifying neonatal brain conditions (term controls vs. intrauterine growth restriction vs. ventriculomegaly) from neuroimaging,detection / diagnosis,"a neighborhood-approximation random forest combined with manifold learning takes multiple distance measures derived from neonatal MRI as input and outputs a classification among term, IUGR, and ventriculomegaly groups",unclear,,,Medical image analysis,2017,9,1.0,0.39,,23.2,10.1016/j.media.2017.08.004,https://doi.org/10.1016/j.media.2017.08.004,Learning and combining image neighborhoods using random forests for neonatal brain disease classification.,Zimmer VA,retrospective algorithm development study,,not stated,internal only,,28818743,28818743,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,supervised machine learning,MRI,brain,"1 adolescent patient with mixed eating-disorder, depressive, and GI symptoms",adolescent,"Distinguishing gastrointestinal, depressive, and eating-disorder symptom etiology in a single adolescent patient using functional MRI response to experimental pain",detection / diagnosis,"Supervised machine learning classifies a single patient's functional brain imaging response to an experimental pain paradigm, together with self-report psychological data, to identify which diagnostic phenotype (GI, depressive or eating-disorder) the patient's pattern most closely resembles.",unclear,,,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,2017,2,0.22,0.11,,7.6,10.1016/j.jocn.2017.07.023,https://doi.org/10.1016/j.jocn.2017.07.023,"The clinical application of fMRI data in a single-patient diagnostic conundrum: Classifying brain response to experimental pain to distinguish between gastrointestinal, depressive and eating disorder symptoms.",Strigo IA,single-patient case report using supervised machine learning classification,1 patient (single-case study),single center,none / not stated,,28823587,28823587,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
,LASSO regression,MRI,brain,74 boys with ADHD and 69 age-matched controls (ADHD-200 Consortium),child,predicting inattention and impulsivity symptom severity in ADHD from resting-state fMRI connectivity,outcome prediction,"A LASSO-based predictive model takes intra- and inter-network temporal connectivity features (sample entropy, phase synchronization) from resting-state fMRI as input and predicts continuous inattention and impulsivity symptom scores.",unclear,,,Neuroscience,2017,10,1.11,0.5,,29.3,10.1016/j.neuroscience.2017.08.038,https://doi.org/10.1016/j.neuroscience.2017.08.038,Predicting clinical symptoms of attention deficit hyperactivity disorder based on temporal patterns between and within intrinsic connectivity networks.,Wang XH,retrospective predictive-modeling study using a public multi-site cohort (ADHD-200),"143 boys (74 ADHD, 69 controls)",public dataset,internal only,"Prediction performance r=0.79 (inattention), r=0.48 (impulsivity), both p<10^-8",28843999,28843999,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
ANN (adapted from adult aSAH model),artificial neural network,other,brain (cerebral vasculature),16 pediatric patients (<21 years) with aneurysmal subarachnoid hemorrhage,pediatric (unspecified),Predicting risk of symptomatic cerebral vasospasm after aneurysmal subarachnoid hemorrhage in children using an adult-derived neural network model applied to pediatric clinical and radiographic data.,outcome prediction,"An artificial neural network trained on adult aneurysmal subarachnoid hemorrhage data is applied to pediatric demographic, clinical, and radiographic variables to output a likelihood score for symptomatic cerebral vasospasm.",unclear,,,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,2017,18,2.0,1.22,,57.3,10.1007/s00381-017-3573-0,https://doi.org/10.1007/s00381-017-3573-0,Predicting symptomatic cerebral vasospasm after aneurysmal subarachnoid hemorrhage with an artificial neural network in a pediatric population.,Skoch J,retrospective case series,16 patients,not stated,internal only,ANN correctly predicted all 16 outcomes; mean prediction strength -0.86 (no vasospasm) vs 0.93 (vasospasm case),28852853,28852853,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
,,MRI,brain,Children and adults with autism spectrum disorder or ADHD (literature review),mixed pediatric and adult,"Identifying brain-imaging-based biomarkers, using machine learning, to aid objective diagnosis of autism spectrum disorder and ADHD in children",detection / diagnosis,"Reviews studies that use structural and functional brain MRI features (e.g., functional connectivity, gray matter volume) as input to machine learning classifiers that output a diagnostic label distinguishing autism spectrum disorder or ADHD from typical development.",unclear,,,Translational psychiatry,2017,111,12.33,5.04,,92.4,10.1038/tp.2017.164,https://doi.org/10.1038/tp.2017.164,Progress and roadblocks in the search for brain-based biomarkers of autism and attention-deficit/hyperactivity disorder.,Uddin LQ,narrative review,,not stated,none / not stated,,28892073,28892073,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,deep learning implementing the Greulich-Pyle method,x-ray / radiography,hand and wrist,200 patients aged 3-17 undergoing left-hand radiography,child; adolescent,"bone age estimation, and whether software assistance makes radiologists faster without making them worse",measurement / quantification,"Takes a left-hand radiograph and returns a ranked list of candidate Greulich-Pyle bone ages. The study is designed around the assisted workflow rather than the model alone: two radiologists read the same 200 cases with the software and with the atlas, and both concordance with the reference and reading time were measured. This is the question a department actually faces before buying such a tool.",unclear,described as a new automatic software system; the abstract does not say whether it is commercially available,,AJR. American journal of roentgenology,2017,112,12.44,7.03,,95.5,10.2214/AJR.17.18224,https://doi.org/10.2214/AJR.17.18224,Computerized Bone Age Estimation Using Deep Learning Based Program: Evaluation of the Accuracy and Efficiency.,Kim JR,retrospective single-center reader study,200 patients,single center,reader study,"software alone concordant in 69.5% of cases (r = 0.992 with reference); concordance rose from 63.0% to 72.5% and 49.5% to 57.5% for the two readers, with reading times cut by 18% and 40%",28898126,28898126,pubmed,False,high,,"claude-code (opus-5, manual)",1,2026-09-08
,random forest regression with auto-context model,MRI,brain,"infants scanned longitudinally at 2 weeks, 3, 6, 9 and 12 months",infant; neonate,deformable registration of infant brain MRI acquired at different developmental time points for early brain development studies,reconstruction / imputation,"A multioutput random forest regression with an auto-context model learns the evolution of anatomical shape and appearance from longitudinal infant MRI, then predicts deformation fields and appearance changes to register images from two different developmental time points.",unclear,,,Medical physics,2017,10,1.11,0.5,,28.9,10.1002/mp.12578,https://doi.org/10.1002/mp.12578,Learning-based deformable registration for infant MRI by integrating random forest with auto-context model.,Wei L,retrospective method-development study,not stated,not stated,internal only,Higher registration accuracy than nonlearning-based registration methods (no single number reported in abstract),28902466,28902466,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
,"three-stage deep learning pipeline (localization, region detection, acoustic pattern verification)",ultrasound,fetal brain,a large clinical dataset of 2D mid-gestation fetal images,fetal,checking that a transventricular fetal brain plane meets the clinical standard before biometry is taken from it,workflow / non-interpretive; detection / diagnosis,"Verifies that an acquired fetal neurosonographic plane actually satisfies the imaging protocol, by locating the brain, finding the regions that should contain named structures, and then learning the acoustic patterns that distinguish a compliant plane from a near-miss. This is quality control against a written clinical standard rather than diagnosis, and the standard is what non-experts find hardest to meet.",unclear,,,Ultrasound in medicine & biology,2017,46,5.11,2.71,,81.6,10.1016/j.ultrasmedbio.2017.07.013,https://doi.org/10.1016/j.ultrasmedbio.2017.07.013,A Deep Learning Solution for Automatic Fetal Neurosonographic Diagnostic Plane Verification Using Clinical Standard Constraints.,Yaqub M,technical development,a large real-world clinical dataset; size not stated,not stated,reader study,automatic verification approached human expert assessment,28958729,28958729,pubmed,False,high,,"claude-code (opus-5, manual)",1,2026-09-09
,trained machine-learning algorithm for individual resting-state network identification,MRI,brain,"20 children aged 1.9-18.4 years undergoing craniotomy, six of whom needed sedation for imaging",infant; child; adolescent,mapping eloquent cortex before craniotomy in children who cannot perform task-based fMRI,segmentation; workflow / non-interpretive,"The clinical case for this is unusually clear: task-based functional mapping requires a cooperative patient, and many children are not, whether through age, cognitive deficit or the need for sedation. A trained classifier identifies resting-state networks in the individual child, and the maps are loaded straight into the surgical navigation system. Six of the twenty children were sedated and it still worked, which is the point.",unclear,,,Journal of neurosurgery. Pediatrics,2017,42,4.67,2.31,,77.5,10.3171/2017.6.PEDS1711,https://doi.org/10.3171/2017.6.PEDS1711,Resting-state functional magnetic resonance imaging for surgical planning in pediatric patients: a preliminary experience.,Roland JL,retrospective case series,20 children,single center,internal only,"resting-state network maps produced for all 20 patients and uploaded to clinical navigation systems, including in six sedated children",28960172,28960172,pubmed,False,high,,"claude-code (opus-5, manual)",1,2026-09-09
,support vector machine classifier,MRI,brain (thalamocortical connectivity),21 children (ages 5-21 years) with medically intractable epilepsy undergoing VNS; independent external cohort of 8 children,child; adolescent,predicting response to vagus nerve stimulation from presurgical resting-state fMRI connectivity in children with intractable epilepsy,outcome prediction,"Whole-brain resting-state fMRI connectivity to thalamic regions of interest is measured before vagus nerve stimulation implantation in children with drug-resistant epilepsy. A supervised support vector machine trained on this connectivity classifies patients as responders or non-responders to VNS, and was tested in an independent external cohort. Enhanced thalamic connectivity to the anterior cingulate cortex and left insula was associated with greater treatment benefit.",unclear,,,NeuroImage. Clinical,2017,83,9.22,4.2,,89.9,10.1016/j.nicl.2017.09.015,https://doi.org/10.1016/j.nicl.2017.09.015,Presurgical thalamocortical connectivity is associated with response to vagus nerve stimulation in children with intractable epilepsy.,Ibrahim GM,retrospective diagnostic/prognostic accuracy study with external validation,21 children (discovery cohort); 8 children (external validation cohort),not stated,external / multi-center,86% accuracy on 10-fold cross-validation; 88% accuracy in an independent external validation cohort of 8 children,28971013,28971013,pubmed,False,high,,claude-sonnet-5 (claude code),1,2026-09-10
,linear support vector machine (feature selection + classification),ultrasound,"brain (cerebral ventricles), cranial","64 extremely premature neonates (<29 weeks gestation, <1500g) with IVH",neonate,"predicting which premature neonates with intraventricular hemorrhage will need intervention for post-hemorrhagic hydrocephalus, using cranial ultrasound",outcome prediction; measurement / quantification,"Input: morphological features of the cerebral ventricles extracted from cranial ultrasound images; output: prediction of need for temporizing intervention for post-hemorrhagic hydrocephalus, via SVM-based feature ranking and selection.",unclear,,,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2017,8,0.89,0.46,,26.8,10.1109/EMBC.2017.8036789,https://doi.org/10.1109/EMBC.2017.8036789,Cranial ultrasound-based prediction of post hemorrhagic hydrocephalus outcome in premature neonates with intraventricular hemorrhage.,Tabrizi PR,retrospective study with SVM-based feature selection and internal evaluation,64 extremely premature neonates,single center,internal only,prediction accuracy 84% (vs 76% for linear manual measurement),29059837,29059837,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,CNN (encoder-decoder),ultrasound,fetal body / amniotic fluid,Clinical fetal ultrasound data (sample size not stated),fetal,Automatically segmenting the fetal body and amniotic fluid on prenatal ultrasound images,segmentation,"Input: fetal ultrasound images; output: pixel-wise segmentation of fetal tissue and amniotic fluid, via an encoder-decoder deep learning network fine-tuned from a pretrained model",unclear,,,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,2017,14,1.56,0.8,,42.6,10.1109/EMBC.2017.8037116,https://doi.org/10.1109/EMBC.2017.8037116,Automatic fetal body and amniotic fluid segmentation from fetal ultrasound images by encoder-decoder network with inner layers.,Yan Li,"retrospective algorithm development, feasibility study",,not stated,internal only,,29060160,29060160,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
,graph theory / structural covariance network analysis,MRI,brain,Large autism MRI dataset (age- and sex-matched ASD vs. controls),pediatric (unspecified),Characterizing differences in frontoparietal and default mode brain network organization in children with autism using structural MRI covariance,other,"A graph-theoretical structural covariance analysis of frontoparietal and default mode network regions derived from structural MRI, comparing network organization between children with autism spectrum disorder and matched controls.",unclear,,,Proceedings. IEEE International Symposium on Biomedical Imaging,2017,1,0.11,0.05,,4.7,10.1109/ISBI.2017.7950560,https://doi.org/10.1109/ISBI.2017.7950560,Graph theoretical approaches towards understanding differences in frontoparietal and default mode networks in Autism.,Riedel BC,Retrospective preliminary case-control structural covariance network study,,not stated,internal only,,29201281,29201281,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
,neural network (backpropagation),ultrasound,fetal heart (left ventricle),50 fetal echocardiography cases (40 frames each),fetal,estimating fetal left ventricular volume from 2D echocardiography for quantitative assessment of fetal cardiac function,measurement / quantification,"Uses 16 distances from the 2D echocardiographic left ventricular border to its center as input to a backpropagation neural network, outputting left ventricular volume and derived stroke volume/ejection fraction.",unclear,,,Journal of healthcare engineering,2017,6,0.67,0.37,,22.4,10.1155/2017/4797315,https://doi.org/10.1155/2017/4797315,Determination of Fetal Left Ventricular Volume Based on Two-Dimensional Echocardiography.,Yu L,retrospective algorithm development and validation study,50 cases (40 frames each),not stated,internal only,"Highest ICC and CCC agreement with volume references, compared to area-length, Simpson's, and regression methods",29201331,29201331,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
LATEST,random forest,MRI,brain,,infant,"Accurate tissue segmentation of isointense-phase (~6-month) infant brain MRI, challenging due to low tissue contrast from ongoing myelination",segmentation,"Local AdapTivE and Sequential Training (LATEST) trains local random-forest classifiers per voxel using neighboring atlas training samples, iteratively refining tissue-probability maps to segment isointense infant brain MRI.",unclear,,,"Medical computer vision and Bayesian and graphical models for biomedical imaging : MICCAI 2016 international workshop, MCV and BAMBI, Athens, Greece, October 21, 2016 : revised selected papers",2017,2,0.22,0.07,,5.9,10.1007/978-3-319-61188-4_3,https://doi.org/10.1007/978-3-319-61188-4_3,LATEST: Local AdapTivE and Sequential Training for Tissue Segmentation of Isointense Infant Brain MR Images.,Wang L,retrospective algorithm development study (MICCAI workshop),,not stated,internal only,,29202135,29202135,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
,CNN (holistically nested network),MRI,lung/chest (respiratory muscle),"31 young boys (15 with DMD, 16 age-matched healthy controls)",child,Segmenting the lung across the breathing cycle on cine MRI to track respiratory muscle involvement in Duchenne muscular dystrophy,segmentation,"A holistically nested CNN, trained on one manually segmented frame per subject, performs image-to-image lung segmentation across an entire cine MRI breathing-cycle sequence in axial, sagittal and coronal planes",unclear,,,"Journal of medical imaging (Bellingham, Wash.)",2017,7,0.78,0.46,,27.1,10.1117/1.JMI.4.4.041310,https://doi.org/10.1117/1.JMI.4.4.041310,Holistic segmentation of the lung in cine MRI.,Kovacs W,retrospective algorithm development and validation study,31 boys (cine MRI sequences),single center,internal only,"Dice similarity coefficients of roughly 0.9 across sagittal, axial and coronal views (exact figures obscured in abstract formulas)",29226176,29226176,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,random forest,CT,head/cochlea,Adult and pediatric cochlear implant recipients,mixed pediatric and adult,Automating the initial rough alignment step of image-guided cochlear implant programming by localizing anatomical landmarks on head CT,workflow / non-interpretive,A random forest localizes multiple anatomical landmarks on head CT images; a heuristic search then uses these landmarks to estimate an initial point-based registration transform for image-guided cochlear implant programming,unclear,,,"Journal of medical imaging (Bellingham, Wash.)",2017,7,0.78,0.5,,29.0,10.1117/1.JMI.4.4.044007,https://doi.org/10.1117/1.JMI.4.4.044007,Localizing landmark sets in head CTs using random forests and a heuristic search algorithm for registration initialization.,Zhang D,retrospective algorithm development study,not stated,not stated,internal only,Automated landmark-based initialization performed equivalently to manual initialization,29250565,29250565,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
,ICA + supervised classifiers,MRI,brain,"youth football players (non-contact, low-impact and high-impact exposure groups)",pediatric (unspecified),Detecting brain functional-connectivity changes associated with different levels of sub-concussive head-impact exposure in youth football players using resting-state MRI,detection / diagnosis,"Group independent component analysis extracts resting-state brain networks from fMRI, and supervised machine learning classifiers predict whether a youth football player had no, low, or high cumulative head-impact exposure based on network connectivity patterns.",unclear,,,Proceedings. IEEE International Symposium on Biomedical Imaging,2017,2,0.22,0.13,,9.1,10.1109/ISBI.2017.7950561,https://doi.org/10.1109/ISBI.2017.7950561,"Changes in resting state MRI networks from a single season of football distinguishes controls, low, and high head impact exposure.",Murugesan G,prospective cohort study with machine-learning classification (IEEE ISBI),,not stated,internal only,Classification accuracy up to 78% (10-fold cross-validation),31741701,31741701,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,deep convolutional neural network (8-layer and 16-layer architectures) with transfer learning,ultrasound,fetal face,fetuses at 20-36 weeks gestational age undergoing routine ultrasound examination,fetal,"recognition of standard fetal facial ultrasound planes (axial, coronal, sagittal) during routine obstetric ultrasound",detection / diagnosis,"The model takes 2D fetal ultrasound images as input and classifies whether the image is a standard fetal facial plane (axial, coronal, or sagittal) versus a non-standard image. It was trained using CNNs of varying depth (8-layer and 16-layer), comparing training from scratch against transfer learning from an ImageNet-pretrained network. It is intended to automate recognition of standard fetal facial planes during routine obstetric ultrasound.",unclear,,,Chinese Journal of Biomedical Engineering,2017,,,,,,10.3969/j.issn.0258-8021.2017.03.002,https://doi.org/10.3969/j.issn.0258-8021.2017.03.002,Fetal facial standard plane recognition via deep convolutional neural networks,,retrospective technical development / diagnostic accuracy,"4,849 training images (375 axial, 257 coronal, 405 sagittal, 3,812 non-standard) and 2,418 test images (491 axial, 127 coronal, 174 sagittal, 1,626 non-standard)",not stated,internal only,"best recognition accuracy 94.5%, a 3.66% improvement over the authors' previous study; transfer learning improved accuracy by 9.29% and increasing CNN depth from 8 to 16 layers improved accuracy by 3.17%",,emb:L617399955,embase,False,high,,claude-sonnet-5 (claude code),1,2026-09-10
,regression random forest with importance sampling,MRI,brain,infants undergoing brain MRI,infant,"anatomical landmark localization on infant brain MRI to support segmentation, registration, and disease prediction",measurement / quantification,"The model takes infant brain MRI images as input. An importance map highlights informative locations in each scan, training voxels are sampled according to this map to address wide morphological variability among infant brains, and a regression random forest aggregates evidence from the sampled locations to localize anatomical landmarks. It is intended to support downstream tasks such as landmark-based segmentation, image registration, and disease prediction in infant brain imaging.",unclear,,,Journal of Medical Imaging and Health Informatics,2017,,,,,,10.1166/jmihi.2017.2140,https://doi.org/10.1166/jmihi.2017.2140,Accurate anatomical landmark detection based on importance sampling for infant brain MR images,,retrospective technical development,two infant brain MRI datasets,not stated,internal only,significant improvement in landmark detection accuracy compared with traditional methods,,emb:L617783153,embase,False,medium,,claude-sonnet-5 (claude code),1,2026-09-10
MaZda,texture analysis with linear and nonlinear discriminant analysis (LDA/NDA) classifiers,MRI,"fetal brain (ventricles, thalamus, grey matter, white matter)",fetuses undergoing prenatal brain MRI (1.5T and 3T),fetal,automated classification of fetal brain anatomical structures on MRI to improve diagnostic imaging interpretation during pregnancy,segmentation,"The system takes manually selected regions of interest from fetal brain MRI (multiple field strengths, imaging planes, and signal weightings) as input, extracts texture features using the MaZda software customized into a knowledge-based system, and classifies each region into one of four anatomical tissue classes (ventricles, thalamus, grey matter, white matter) using linear and nonlinear discriminant analysis. It is intended as a data-mining tool to assist texture-based classification of fetal brain structures for prenatal imaging screening.",unclear,,,F1000Research,2017,,,,,,10.12688/f1000research.10401.1,https://doi.org/10.12688/f1000research.10401.1,Texture analysis of the developing human brain using customization of a knowledge-based system,,retrospective technical development / diagnostic accuracy,"3,456 regions of interest",not stated,internal only,LDA and NDA combined with dimensionality-reduction techniques achieved 100% sensitivity and 100% specificity (95% CI: 99.79-100) for ROI classification,,emb:L619597728,embase,False,medium,,claude-sonnet-5 (claude code),1,2026-09-10
,,ultrasound,"fetal face/neck (nasal bone, nuchal region)",fetuses screened by ultrasound in the first and second trimester for Down syndrome markers,fetal,detection of Down syndrome soft-marker features on first- and second-trimester ultrasound,detection / diagnosis,"This review of computer-aided diagnosis algorithms and techniques, covering 50 papers published from 1982 to 2016, examines secondary-observer systems developed to detect Down syndrome soft markers on first- and second-trimester fetal ultrasound, including nasal bone length, nuchal translucency thickness, and naso-frontal angle. It compares sensitivity, specificity, and accuracy across the reported algorithms.",unclear,,,Biomedical and Pharmacology Journal,2017,,,,,,10.13005/bpj/1266,https://doi.org/10.13005/bpj/1266,A Review on techniques for computer aided diagnosis of soft markers for detection of down syndrome in ultrasound fetal images,,narrative review,50 papers reviewed (1982-2016),not stated,none / not stated,,,emb:L621495729,embase,False,low,,claude-sonnet-5 (claude code),1,2026-09-10
